ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id,identity_resolution_required,identity_resolution_reason
STDN,"Standard Nuclear, Inc. Class A Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:STDN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STE,STERIS plc (Ireland) Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:STE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STEM,"Stem, Inc. Class A Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:STEM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STEP,StepStone Group Inc. - Class A Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STEP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STEX,Streamex Corp. - Common Stock,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STEX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STFS,Star Fashion Culture Holdings Limited - Class A Ordinary Shares,Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STFS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STGW,Stagwell Inc. - Class A Common Stock,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STGW,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STHO,Star Holdings - Shares of Beneficial Interest,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STHO,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STI,"Solidion Technology, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STI,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STIM,"Neuronetics, Inc. - Common Stock",Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STIM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STKE,Sol Strategies Inc. - Common Shares,Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STKE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STKS,"The ONE Group Hospitality, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STKS,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STLA,Stellantis N.V. Common Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:STLA,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STLD,"Steel Dynamics, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STLD,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
STLN,"Starling Oncology, Inc. - Common Stock",Q,S,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:STLN,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed,,
