ticker,company_name,listing_exchange,market_category,financial_status,security_type,instrument_status,rankable,adr_flag,etf_flag,quality_seed,contract_id,contract_id_status,approved_etf_product_type,approved_etf_sector,approved_etf_last_verified_at,source_id
CAL,"Caleres, Inc. Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CAL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CALM,"Cal-Maine Foods, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CALM,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CALX,"Calix, Inc Common Stock",N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CALX,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CALY,Callaway Golf Company Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CALY,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAMP,CAMP4 Therapeutics Corporation - Common Stock,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAMP,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAMT,Camtek Ltd. - Ordinary Shares,Q,G,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAMT,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CANG,Cango Inc. Class A Ordinary Shares,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CANG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAPR,"Capricor Therapeutics, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAPR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CAR,"Avis Budget Group, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CAR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CARE,"Carter Bankshares, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CARE,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CARG,"CarGurus, Inc. - Class A Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CARG,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CARL,"Carlsmed, Inc. - Common Stock",Q,Q,N,common_equity,eligible,True,N,N,,nasdaqtrader:Q:CARL,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
CARR,Carrier Global Corporation Common Stock,N,,,common_equity,eligible,True,N,N,,nasdaqtrader:N:CARR,provisional_symbol_directory_id,,,,nasdaq_trader_all_us_listed
